,City ID,City Name,Cloudiness,Wind Speed,Country,Temperature,Feels Like,Min Temp,Max Temp,Barometric Pressure,Humidity,Sea Level,Ground Level,Latitude,Longitude
0,5106841,Albany,100.0,3.0,US,23.56,16.84,23.0,24.01,1026.0,41.0,,,-85.16351423608194,95.94881103316374
1,2027316,Ayan,100.0,306.0,RU,5.13,-24.2,-5.13,-5.13,1010.0,90.0,1010.0,998.0,58.1524588166306,136.429367637356
2,964432,Port Alfred,1.0,7.0,ZA,0.63,64.13,63.0,63.0,1017.0,86.0,,,-83.11220988584721,47.90438992706157
3,3466704,Castro,0.0,317.0,BR,62.89,65.77,62.89,62.89,1014.0,93.0,1014.0,903.0,-46.959553714733126,-87.60311904680222
4,4030556,Rikitea,0.0,33.0,PF,77.92,81.05,77.92,77.92,1017.0,67.0,1017.0,1014.0,-59.9576861177414,-133.3918427490206
5,6165406,Thompson,90.0,0.0,CA,1.48,-22.94,-14.8,-14.8,1016.0,75.0,,,73.37824492048344,-100.17031291467717
6,3393536,Olinda,40.0,80.0,BR,7.88,80.17,78.8,78.8,1012.0,69.0,,,-8.315453790776957,-31.08246660052825
7,2128975,Nemuro,20.0,280.0,JP,2.84,15.24,28.4,28.4,999.0,39.0,,,32.85995878351288,153.9768594524549
8,3421319,Nuuk,43.0,70.0,GL,24.39,11.62,24.01,24.8,1007.0,85.0,,,63.72909237880643,-52.506970734437445
9,2078025,Adelaide,0.0,250.0,AU,75.27,67.33,73.0,77.0,1011.0,47.0,,,-35.1617746121158,137.28388958120416
10,4736096,Texarkana,90.0,20.0,US,3.52,27.93,35.01,35.6,1017.0,93.0,,,34.087928531013546,-94.69407966624158
11,3369157,Cape Town,0.0,210.0,ZA,61.25,56.77,60.01,63.0,1015.0,72.0,,,-36.974398505505675,12.994048803398925
12,2163355,Hobart,75.0,150.0,AU,5.67,47.79,54.0,59.0,1021.0,44.0,,,-84.33104868878733,150.38346280024615
